gene,log2FC,t_statistic,p_value,mean_tumor,mean_normal,adj_p_value,significant,direction
REG1A,0.17638306942716486,1.6444914913802966,0.10482292883407945,6.828927658896553,6.652544589469388,0.16617969304311833,False,Not Significant
LETM1,0.09482110974560332,1.6381294234435764,0.10481591450253082,7.552094381051726,7.457273271306122,0.16617969304311833,False,Not Significant
RNF126P1,0.07708149522800767,1.6351077873347675,0.10506487640301931,6.097871209758621,6.020789714530613,0.16654372561421604,False,Not Significant
INE1,-0.04817241249683324,-1.6338526024746372,0.10528970889676223,7.087256426482759,7.135428838979593,0.1667827491490555,False,Not Significant
PGLYRP1,-0.05646020338916369,-1.6347734482260143,0.10528251169548386,6.8778167748965515,6.934276978285715,0.1667827491490555,False,Not Significant
C8G,-0.054355606842365844,-1.6340438141484552,0.10528066722645359,5.653871292586206,5.708226899428571,0.1667827491490555,False,Not Significant
MFSD5,0.0891985490425764,1.6342126454636163,0.1052788105100242,8.541992648879312,8.452794099836735,0.1667827491490555,False,Not Significant
CCNH,-0.10520247309464992,-1.6353311705532854,0.10525480130374597,9.017697363293106,9.122899836387756,0.1667827491490555,False,Not Significant
SAMM50,0.09887382269844913,1.6348111180508476,0.1052561762629225,9.263650342086205,9.164776519387756,0.1667827491490555,False,Not Significant
TRPV5,0.0627253437427866,1.6334469749382103,0.1054651083738451,7.608485191844828,7.545759848102041,0.1670410101573323,False,Not Significant
PAQR6,0.07986763751407455,1.6340865244887943,0.10566907816679418,7.848798582534482,7.768930945020408,0.1673444564593653,False,Not Significant
CIDEB,-0.07501892729556658,-1.6321223884930924,0.10568745421352072,8.851452675275862,8.926471602571429,0.16735394770893175,False,Not Significant
TMEM161A,0.0529405499824076,1.6319304554994825,0.10572531278283503,9.790413752206897,9.73747320222449,0.16739428330131392,False,Not Significant
WIPI1,0.13641862204820576,1.6319376776949959,0.10582779699505579,8.027504930293103,7.891086308244898,0.16753691886941305,False,Not Significant
CEP70,0.10512634317100655,1.6316175010343716,0.10587678958323526,8.386294562068965,8.281168218897959,0.16759123715831906,False,Not Significant
IQCK,0.05288712158550091,1.6317414032727602,0.10588690892304006,8.076445136034481,8.02355801444898,0.16759123715831906,False,Not Significant
ISG20,0.15733103173891827,1.6322579428416184,0.1059130460743279,8.896201922310347,8.738870890571429,0.16759678608625794,False,Not Significant
PIK3C2G,0.09160195074173139,1.6314601989267243,0.10591521642343538,6.70944956551724,6.617847614775509,0.16759678608625794,False,Not Significant
CNOT8,-0.14189354939268206,-1.6301791777040824,0.10606077127091974,9.14942576213793,9.291319311530613,0.16780746004758607,False,Not Significant
CAMKMT,-0.07492132831808451,-1.6291881473707028,0.1063709452426308,7.54431695162069,7.619238279938775,0.16827851164159607,False,Not Significant
CALML3,0.14688442171885985,1.6333362297294747,0.10644463749987934,7.870258352086207,7.723373930367347,0.16836196111617482,False,Not Significant
NUDT13,0.07172307561505864,1.6289676485198885,0.10644860952554301,4.933398885206896,4.861675809591837,0.16836196111617482,False,Not Significant
LTF,0.36884983289479223,1.6286687223185612,0.1064978633358588,8.632506489017242,8.26365665612245,0.16842015246713452,False,Not Significant
CCDC71,0.07397123822237806,1.6284236893849038,0.1065743087940463,6.694799196344828,6.62082795812245,0.16852132717345686,False,Not Significant
EIF3L,-0.1100325543068319,-1.6277901588674866,0.10659583746932677,11.261767373448272,11.371799927755104,0.16853565084206262,False,Not Significant
KMT2B,0.10334787056756056,1.632056232798512,0.10665038811112947,8.417146902465518,8.313799031897958,0.16858245559320642,False,Not Significant
GPX1,0.17647971504749904,1.6280740066139763,0.1066415953715391,11.06794804274138,10.89146832769388,0.16858245559320642,False,Not Significant
AIPL1,0.0577153213286401,1.6273102628189071,0.10674660387758271,6.431507809655172,6.373792488326532,0.1687148112975711,False,Not Significant
COMT,-0.13992350923152763,-1.6307493397310295,0.1067680047623536,10.316331131482757,10.456254640714285,0.16872890369074006,False,Not Significant
OR51E2,0.06655066151864908,1.6270100318051113,0.10678558546996503,6.80789812562069,6.7413474641020406,0.16873695634591107,False,Not Significant
INSL5,-0.07243803938106819,-1.62643171321394,0.10688204634938545,5.595984313741379,5.668422353122447,0.16884989554786023,False,Not Significant
RBPJL,0.07932358030401154,1.6268885651021223,0.10687034446798073,6.427864327344828,6.348540747040817,0.16884989554786023,False,Not Significant
RAD9A,0.06415763358515214,1.6271068678897378,0.10699085814856733,8.19672388725862,8.132566253673469,0.16900203925641508,False,Not Significant
GPRC5C,0.1284560150534837,1.6301850606865593,0.10701996000621136,8.535726499931034,8.40727048487755,0.16902825283206105,False,Not Significant
MED8,0.0706183554152009,1.6261641394784196,0.10722533158218511,8.380769570517241,8.31015121510204,0.1693328296720299,False,Not Significant
XK,0.2159019716787478,1.6295762870513535,0.10729312184770484,6.0719481726379305,5.856046200959183,0.16942008900242211,False,Not Significant
MVK,-0.04298772901724135,-1.6246364417261137,0.10730594730936394,9.720896190982758,9.76388392,0.1694205464820156,False,Not Significant
RASSF9,-0.10676684354855581,-1.6243079431018732,0.10761328455188239,5.871485561431035,5.978252404979591,0.16988594097870466,False,Not Significant
M6PR /// PHC1,-0.09661600857705821,-1.6222261710970003,0.1077539542416333,10.004834480586206,10.101450489163264,0.17008814430923547,False,Not Significant
CD47,0.17904217655172516,1.6233708872844557,0.10815557778776276,11.079826056551726,10.90078388,0.1707021644051867,False,Not Significant
COMMD10,0.1320939898761413,1.6196690847055082,0.10831021430386278,8.54766120289655,8.41556721302041,0.17092626650125006,False,Not Significant
LMO4,-0.12369631111822876,-1.6222482445731594,0.10832604463702009,9.232218217310344,9.355914528428572,0.17093128934843274,False,Not Significant
PRKCI,0.16192454169141612,1.6194828462464388,0.10836633787788255,10.447003412568966,10.28507887087755,0.17097490735694404,False,Not Significant
LCN1,0.07073975670619426,1.619417708566015,0.10852462207325349,5.774700982155173,5.703961225448979,0.17120465359169149,False,Not Significant
KCNJ14,-0.06363958028641736,-1.6173830243905292,0.10881584403259795,6.552316895448276,6.615956475734693,0.17164403969427652,False,Not Significant
WDR4,-0.05169655608409496,-1.616249921812644,0.10904217524582759,7.239147609568966,7.290844165653061,0.17198097776255805,False,Not Significant
MOB1A,-0.06888424553342354,-1.61543131265609,0.10921955636952202,10.325141240793105,10.394025486326528,0.1722406422793571,False,Not Significant
RBM19,0.07650068911470775,1.6154759262074048,0.10924614207958745,7.989520735931034,7.913020046816326,0.1722624676473719,False,Not Significant
DEFA4,-0.056121719845531715,-1.6145147970278946,0.1094391758066456,6.134136808603447,6.190258528448979,0.1725467173386392,False,Not Significant
SNAPC2,0.08958143699155485,1.61431107983106,0.10950304844791268,7.126137197379309,7.036555760387754,0.17258031940203156,False,Not Significant
NOV,-0.08802041597888888,-1.615480058990637,0.10950792375937836,8.172061996551724,8.260082412530613,0.17258031940203156,False,Not Significant
LINC00652,0.06991990299859197,1.614145751530014,0.1094973690851519,8.065209272896551,7.995289369897959,0.17258031940203156,False,Not Significant
PSCA,0.22264268672448928,1.6169806094545307,0.10952433588688307,6.384958882499999,6.16231619577551,0.17258031940203156,False,Not Significant
PPP2R5D,0.05340311898275907,1.614265864390438,0.10952215058534276,9.10491497098276,9.051511852,0.17258031940203156,False,Not Significant
TECR,0.13213279001935163,1.6156934885041672,0.10964325290973297,8.797369332672414,8.665236542653062,0.17274755923001178,False,Not Significant
OSR2,0.15274848612033676,1.6133489079332337,0.10968498350593689,5.448078343344827,5.29532985722449,0.17279316378164553,False,Not Significant
SCGB2A2,0.11731176908690966,1.6223881767682808,0.10971568912439043,4.56844926863793,4.45113749955102,0.17282139143544717,False,Not Significant
CALCA,0.11674164350175964,1.618276447785095,0.10980899785292746,7.65720368037931,7.540462036877551,0.1729482118613582,False,Not Significant
PPP1R3D,0.12977510337860565,1.61424125765699,0.10985499390231622,7.131107212827586,7.00133210944898,0.17300049435910086,False,Not Significant
TPR,0.18289453178958404,1.6130204218103374,0.11008507622004787,10.227251991034482,10.044357459244898,0.17334263137760073,False,Not Significant
SMNDC1,0.14536414444334866,1.611640237960005,0.11011986998827719,8.467891516586207,8.322527372142858,0.17336666494922284,False,Not Significant
PDIA2,0.1036684750971153,1.6123740644777413,0.11012599471617299,6.727258627137931,6.623590152040816,0.17336666494922284,False,Not Significant
TEX13A,0.09308783768613793,1.610984740595244,0.11020050272817658,6.333238165931035,6.240150328244897,0.17346375429435204,False,Not Significant
PLK2,-0.22588546083743832,-1.6102706198906982,0.11034312559899041,7.801874521448275,8.027759982285714,0.17365157002437964,False,Not Significant
MTDH,0.12407715772976857,1.6103577992208644,0.11034551856229169,10.498289658137931,10.374212500408163,0.17365157002437964,False,Not Significant
