gene,log2FC,t_statistic,p_value,mean_tumor,mean_normal,adj_p_value,significant,direction,neg_log10_padj
ID3,-1.0829064507508814,-9.61127487616418,4.97422039528915e-16,7.964138908310344,9.047045359061226,9.960608678928656e-15,True,Downregulated in Tumor,14.001714121634244
ALDH1A1,-1.7918496844542569,-9.903038153212663,4.9747768096758e-16,7.60412751236207,9.395977196816327,9.960608678928656e-15,True,Downregulated in Tumor,14.001714121634244
MMP11,1.4285393688796617,10.53684800319705,5.230594529057835e-16,8.998626006655172,7.5700866377755105,1.0441873716427864e-14,True,Upregulated in Tumor,13.98122156343235
NEK2,1.51536540395848,10.739175999617874,5.314399871754848e-16,6.728503153448276,5.213137749489796,1.0577925517933251e-14,True,Upregulated in Tumor,13.9755994952925
WWTR1,-1.0099931628645322,-9.737470160264316,6.038595306969179e-16,8.727048525706897,9.737041688571429,1.1914104463312183e-14,True,Downregulated in Tumor,13.923938596310268
ECM2,-1.0331448267913448,-9.540951166991363,6.722141299953417e-16,7.925520377086206,8.958665203877551,1.3166628937517453e-14,True,Downregulated in Tumor,13.880525403567995
SLK,-1.0269301384461649,-9.620471475603715,8.140836952166855e-16,7.911060030206896,8.93799016865306,1.5740116081335487e-14,True,Downregulated in Tumor,13.802992069099092
RAPGEF5,-1.0248783413078808,-9.54264592967269,8.166852139239381e-16,8.65927417112069,9.684152512428572,1.5753181954519913e-14,True,Downregulated in Tumor,13.802631710717804
MRC1,-1.5720616723754386,-9.769913541440223,8.170906807338852e-16,9.490289047155173,11.062350719530611,1.5753181954519913e-14,True,Downregulated in Tumor,13.802631710717804
MEIS2,-1.104891829655875,-9.569830324562222,8.26278884582556e-16,7.492773632793105,8.59766546244898,1.590763408138639e-14,True,Downregulated in Tumor,13.798394407519
AK4 /// LOC100507855,1.1586075664426456,9.981050492083646,1.0186614592382984e-15,9.586872921034482,8.428265354591836,1.9174386659617833e-14,True,Upregulated in Tumor,13.717278519144495
CLDN3,1.1316636728884575,9.740503567898866,1.0241518469329707e-15,8.761878933051722,7.630215260163265,1.925092101710584e-14,True,Upregulated in Tumor,13.715548487813752
AQP1,-1.8475568994707956,-10.246344952456635,1.1301767014790798e-15,9.923096638896551,11.770653538367347,2.112633211685998e-14,True,Downregulated in Tumor,13.675175897158788
PLAU,1.463728273453551,10.043306184666388,1.1750076777966659e-15,9.662009149086206,8.198280875632655,2.187359334080157e-14,True,Upregulated in Tumor,13.66007986625859
ZBED2,-1.3076999233662914,-9.792717166159193,1.2354221107157032e-15,7.057821733327586,8.365521656693877,2.2935068442751e-14,True,Downregulated in Tumor,13.639499959509992
CRABP2,1.8751963653638306,10.325731628813605,1.283734021557947e-15,9.021479907241382,7.146283541877551,2.3669393316992705e-14,True,Upregulated in Tumor,13.62581287356475
PPP1R15A,-1.071880439143209,-10.172815153524741,1.3980824231013084e-15,8.905003913224139,9.976884352367348,2.5499438526604838e-14,True,Downregulated in Tumor,13.593469382212392
STEAP1,1.5995190549919043,9.623898029765103,1.4985489457174515e-15,8.98004535315517,7.380526298163265,2.7185085907881017e-14,True,Upregulated in Tumor,13.56566929024146
EOGT,-1.0346882844468697,-9.477330796353042,1.5691985035664782e-15,5.740738658655172,6.775426943102041,2.823930462809714e-14,True,Downregulated in Tumor,13.54914600166763
DNAJB4,-1.023486826357848,-9.52402651634292,1.7577153049260632e-15,6.995169066948275,8.018655893306123,3.138113916258355e-14,True,Downregulated in Tumor,13.503331295196363
MMP1,2.8620355760376484,10.22306793152891,1.884540198408814e-15,7.852578982017241,4.990543405979593,3.33808136061535e-14,True,Upregulated in Tumor,13.476503082265618
BUB1B,1.4208582613423637,10.10599160102481,1.8940834633849646e-15,8.215245253913793,6.794386992571429,3.3462141186467706e-14,True,Upregulated in Tumor,13.475446272706694
IL7R,-1.405299476357845,-9.388921840836955,2.210611945572789e-15,9.802700224948277,11.207999701306122,3.860002641397448e-14,True,Downregulated in Tumor,13.413412398140695
F8,-1.1714507858205483,-9.907201638409601,2.6222736342199413e-15,8.051990862689655,9.223441648510203,4.5435933546772444e-14,True,Downregulated in Tumor,13.342600544313417
HEY1,-1.2445021077554532,-9.315665519090976,2.6460068160610932e-15,9.103832724224139,10.348334831979592,4.572990040801237e-14,True,Downregulated in Tumor,13.339799744438206
RPS6KA2,-1.183132188016538,-10.165692812692589,2.726881141128597e-15,8.607773987534483,9.79090617555102,4.6887784506810414e-14,True,Downregulated in Tumor,13.328940287610873
COL3A1,1.953270790287121,9.753806713368308,2.915800027515487e-15,12.719271743103448,10.766000952816327,4.9882325787179504e-14,True,Upregulated in Tumor,13.30205330553451
ALOX5,-1.4471107088648818,-9.25558656131355,2.9693284493819704e-15,8.742101401931036,10.189212110795918,5.06697903957037e-14,True,Downregulated in Tumor,13.295250892239377
COL4A3,-1.7735179949968334,-9.254332042240458,3.2798470025883106e-15,8.043875885982759,9.817393880979592,5.5547784761880974e-14,True,Downregulated in Tumor,13.25533325598278
FBLN1,-1.442659058940885,-9.225378743801512,3.5333004452159092e-15,8.904348601344829,10.347007660285714,5.961617417864296e-14,True,Downregulated in Tumor,13.224635897917892
UBE2C,1.2481403355102039,9.96799782644168,3.7334880788133925e-15,9.509466468000001,8.261326132489797,6.291532591666209e-14,True,Upregulated in Tumor,13.201243549303728
CAMK2N1,-1.4495894655133714,-9.153250409819263,5.997762075626485e-15,9.243925953017241,10.693515418530612,9.837348841273295e-14,True,Downregulated in Tumor,13.0071219278634
KIF4A,1.0246236577994372,9.731354423793357,6.087677171562894e-15,7.598451328758621,6.573827670959184,9.96064854402815e-14,True,Upregulated in Tumor,13.001712383471583
ADAM28,1.0589968264092207,9.387785922235135,6.087482451484615e-15,8.005129201327588,6.946132374918367,9.96064854402815e-14,True,Upregulated in Tumor,13.001712383471583
MYRF,-1.0046814936192838,-9.080972008088695,7.225417447805745e-15,8.342214141482758,9.346895635102042,1.1659857884514902e-13,True,Downregulated in Tumor,12.933306742917237
ABLIM1,-1.0486907790299114,-9.178748810654538,8.539550088613346e-15,9.541803066051722,10.590493845081633,1.3616069662535907e-13,True,Downregulated in Tumor,12.865948235316365
COL5A2,1.4195945350288532,9.04795219823146,8.661090864262542e-15,10.07685529162069,8.657260756591837,1.3771134474177443e-13,True,Upregulated in Tumor,12.861030280833834
DLGAP5,1.3117875440211115,9.772776386297679,1.0034606861693233e-14,6.422441733551724,5.110654189530613,1.5824703819811442e-13,True,Upregulated in Tumor,12.80066440962816
CNN1,-1.0343102853490507,-9.390598333120396,1.0065977227562735e-14,7.603913537344827,8.638223822693877,1.5855673919639902e-13,True,Downregulated in Tumor,12.799815294263771
